영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
대장 김창수,이원태,(주)키다리이엔티,2017-10-19,장편,한국,748,2871905115,380581,"740,794,715","93,920",드라마,12세관람가,일반영화
클릭,프랭크 코라치,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-02-01,장편,미국,0,0,379377,0,"142,253",코미디,12세관람가,일반영화
스토커,박찬욱,이십세기폭스코리아(주),2013-02-28,장편,미국,329,2828301674,378729,"1,259,351,674","163,582",드라마,청소년관람불가,일반영화
착신아리2,츠카모토 렌페이,(주)씨제이이엔엠,2005-04-29,장편,일본,0,0,378520,0,"67,604",공포(호러),15세관람가,일반영화
공자 춘추전국시대,후메이,(주)시너지하우스 (시너지),2010-02-11,장편,중국,243,2819298799,377801,"811,821,000","103,188",드라마,12세관람가,일반영화
고스트 라이더,마크 스티븐 존슨,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-04-12,장편,미국,0,0,376333,0,"109,772",액션,15세관람가,일반영화
프롬 파리 위드 러브,피에르 모렐,㈜케이디미디어,2010-03-11,장편,프랑스,300,2850441248,375573,"944,127,500","118,230",액션,청소년관람불가,일반영화
폴라 익스프레스,로버트 저메키스,워너브러더스 코리아(주),2004-12-23,장편,미국,0,0,374400,0,"202,000",애니메이션,전체관람가,일반영화
컨트롤러,조지 놀피,유니버설픽쳐스인터내셔널 코리아(유),2011-03-03,장편,미국,371,2862234500,373344,"1,181,928,000","147,607",스릴러,12세관람가,일반영화
루카,엔리코 카사로사,월트디즈니컴퍼니코리아 유한책임회사,2021-06-17,장편,미국,856,3393832110,371572,"944,322,160","98,079",애니메이션,전체관람가,일반영화
언더월드,렌 와이즈먼,(주)쇼박스,2003-09-25,장편,미국,0,0,370212,0,"128,233",공포(호러),청소년관람불가,일반영화
월드 트레이드 센터,올리버 스톤,UIP코리아,2006-10-15,장편,미국,0,0,369000,0,"134,198",드라마,12세관람가,일반영화
눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,(주)이수C&E,2017-01-04,장편,기타,526,2694247700,366442,"433,186,900","54,862",애니메이션,전체관람가,독립/예술영화
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,유야마 쿠니히코,씨제이 씨지브이(CJ CGV)(주),2010-12-23,장편,일본,140,2557477869,366277,"768,747,000","107,618",애니메이션,전체관람가,일반영화
쏜다,박정우,(주)쇼박스,2007-03-14,장편,한국,0,0,365684,0,"78,756",코미디,15세관람가,일반영화
마들렌,박광춘,(주)시네마서비스,2003-01-10,장편,한국,0,0,365656,0,"146,482",드라마,15세관람가,일반영화
문프린세스 : 문에이커의 비밀,가버 추보,(주)성원아이컴,2009-02-19,장편,영국,262,2260376662,365525,"634,983,000","97,231",어드벤처,전체관람가,일반영화
더 링,고어 버빈스키,(주)씨제이이엔엠,2003-01-10,장편,미국,0,0,365518,0,"126,807",공포(호러),15세관람가,일반영화
그레이의 50가지 그림자,샘 테일러-존슨,유니버설픽쳐스인터내셔널 코리아(유),2015-02-26,장편,미국,512,2918598796,364415,"1,201,564,996","145,292",드라마,청소년관람불가,일반영화
파라노말 액티비티 2,서동욱,(주)씨제이이엔엠,2010-10-21,장편,미국,177,2616761211,364251,"843,504,500","111,915",공포(호러),12세관람가,독립/예술영화
에브리씽 에브리웨어 올 앳 원스,다니엘 쉐이너트,워터홀컴퍼니(주),2022-10-12,장편,미국,620,3853187329,363431,"2,257,697,210","209,069",액션,15세관람가,독립/예술영화
