,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나,출연,평점
94,2684,레고 무비2,마이크 미첼,워너브러더스 코리아,2019-02-06,장편,미국,442,680374040,88105,"182,185,020","22,018",애니메이션,전체관람가,일반영화,2019,2,겨울,226678777,0,"['알리슨 브리', '크리스 프랫', '엘리자베스 뱅크스', '스테파니 비트리즈', '윌 아넷', '티파니 해디쉬']",8.7
95,2685,미드소마,아리 애스터,팝엔터테인먼트,2019-07-11,장편,미국,388,800891816,88055,"446,066,766","48,211",공포(호러),청소년관람불가,독립/예술영화,2019,7,여름,226678777,0,"['윌 폴터', '플로렌스 퓨', '윌리엄 잭슨 하퍼', '잭 레이너']",6.11
96,2686,그대 이름은 장미,조석현,리틀빅픽쳐스,2019-01-16,장편,한국,540,735782970,88054,"231,834,480","26,485",코미디,12세관람가,일반영화,2019,1,겨울,226678777,0,"['유호정', '박성웅', '오정세', '하연수', '이원근', '최우식', '채수빈']",6.84
97,2687,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,스도 토모노리,애니플러스,2020-10-22,장편,일본,149,787515610,87996,"296,446,090","31,729",애니메이션,15세관람가,일반영화,2020,10,가을,59523967,1,"['스기야마 노리아키', '시타야 노리코']",9.21
98,2688,비몽,김기덕,스폰지이엔티,2008-10-09,장편,한국,100,585055618,87963,"311,688,500","45,042",드라마,청소년관람불가,독립/예술영화,2008,10,가을,147428639,0,"['오다기리 죠', '이나영']",6.88
99,2689,락 오브 에이지,아담 쉥크만,워너브러더스 코리아,2012-08-02,장편,미국,243,634870496,87915,"249,357,455","33,412",뮤지컬,15세관람가,일반영화,2012,8,여름,194890587,0,"['톰 크루즈', '캐서린 제타 존스', '알렉 볼드윈', '폴 지아마티', '말린 애커맨', '줄리안 허프', '디에고 보네타', '러셀 브랜드']",7.56
100,2691,몬스터 콜,후안 안토니오 바요나,롯데엔터테인먼트,2017-09-14,장편,기타,349,686273900,87841,"299,085,800","36,865",판타지,12세관람가,독립/예술영화,2017,9,가을,219876227,0,"['펠리시티 존스', '리암 니슨', '시고니 위버', '루이스 맥더겔']",8.6
101,2692,사우스포,안톤 후쿠아,씨네그루다우기술,2015-12-03,장편,미국,335,649386248,87426,"210,497,148","26,835",드라마,15세관람가,일반영화,2015,12,겨울,217299523,0,"['제이크 질렌할', '레이첼 맥아담스', '포레스트 휘태커', '나오미 해리스', '우나 로렌스']",8.56
102,2694,갤로우즈,크리스 로핑,워너브러더스 코리아,2015-09-03,장편,미국,299,674767406,87301,"144,252,106","17,990",공포(호러),15세관람가,일반영화,2015,9,가을,217299523,0,"['캐시디 지포드', '파이퍼 브라운', '라이언 슈즈']",6.84
103,2695,팅커 테일러 솔저 스파이,토마스 알프레드슨, 왓챠,2012-02-09,장편,영국,187,648304500,87155,"280,860,000","36,114",스릴러,15세관람가,일반영화,2012,2,겨울,194890587,0,"['톰 하디', '게리 올드만', '베네딕트 컴버배치', '마크 스트롱', '콜린 퍼스', '스테판 그레이엄']",8.21
104,2696,김복동,송원근,엣나인필름,2019-08-08,장편,한국,366,696375860,87139,"302,552,820","35,968",다큐멘터리,12세관람가,독립/예술영화,2019,8,여름,226678777,0,"['<b>김복동</b>', '한지민']",8.83
105,2699,셜록 놈즈,존 스티븐슨,키다리이엔티,2018-10-03,장편,미국,440,644661200,86784,"152,642,850","19,724",애니메이션,전체관람가,독립/예술영화,2018,10,가을,216385269,0,"['조니 뎁', '에밀리 블런트', '제임스 맥어보이']",8.49
106,2701,허큘리스,브렛 래트너,워너브러더스 코리아,2014-08-06,장편,미국,278,669733800,86528,"197,356,400","24,172",액션,15세관람가,일반영화,2014,8,여름,215068958,0,"['드웨인 존슨', '이안 맥쉐인', '존 허트']",7.35
