,순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점,연도
209,526,씽,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144938,https://ssl.pstatic.net/imgmovie/mdi/mit110/1449/144938_P22_135428.jpg,2016,['가스 제닝스'],"['매튜 맥커너히', '리즈 위더스푼', '스칼릿 조핸슨', '태런 에저튼', '토리 켈리', '닉 크롤', '세스 맥팔레인']",8.99,2016
211,550,알렉산더,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37461,https://ssl.pstatic.net/imgmovie/mdi/mit110/0374/37461_P50_151018.jpg,2004,['올리버 스톤'],"['콜린 파렐', '안소니 홉킨스', '안젤리나 졸리', '발 킬머', '자레드 레토']",7.03,2004
212,552,마다가스카의 펭귄,https://movie.naver.com/movie/bi/mi/basic.nhn?code=114276,https://ssl.pstatic.net/imgmovie/mdi/mit110/1142/114276_P04_111037.jpg,2014,"['에릭 다넬', '사이몬 J. 스미스']","['베네딕트 컴버배치', '존 말코비치', '톰 맥그라스', '크리스 밀러', '크리스토퍼 나이츠', '켄 정']",8.71,2014
217,568,하울링,https://movie.naver.com/movie/bi/mi/basic.nhn?code=81128,https://ssl.pstatic.net/imgmovie/mdi/mit110/0811/81128_P39_133830.jpg,2012,['유하'],"['송강호', '이나영']",6.77,2012
219,575,로빈 후드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65994,https://ssl.pstatic.net/imgmovie/mdi/mit110/0659/65994_P15_113332.jpg,2010,['리들리 스콧'],"['러셀 크로우', '케이트 블란쳇', '막스 폰 시도우']",7.31,2010
221,576,더 폰,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134982,https://ssl.pstatic.net/imgmovie/mdi/mit110/1349/134982_P120_154959.jpg,2015,['김봉주'],"['손현주', '엄지원', '배성우']",6.77,2015
223,581,지구가 멈추는 날,https://movie.naver.com/movie/bi/mi/basic.nhn?code=44477,https://ssl.pstatic.net/imgmovie/mdi/mit110/0444/D4477-00.jpg,2008,['스콧 데릭슨'],"['키아누 리브스', '제니퍼 코넬리']",4.64,2008
225,583,와일드 카드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=35991,https://ssl.pstatic.net/imgmovie/mdi/mit110/0359/C5991-00.jpg,2003,['김유진'],"['정진영', '양동근', '한채영']",8.88,2003
227,587,원스어폰어타임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=69207,https://ssl.pstatic.net/imgmovie/mdi/mit110/0692/F9207-01.jpg,2008,['정용기'],"['박용우', '이보영']",7.99,2008
229,596,해바라기,https://movie.naver.com/movie/bi/mi/basic.nhn?code=44529,https://ssl.pstatic.net/imgmovie/mdi/mit110/0445/D4529-00.jpg,2006,['강석범'],"['김래원', '김해숙', '허이재']",9.23,2006
239,627,젠틀맨 리그,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36343,https://ssl.pstatic.net/imgmovie/mdi/mit110/0363/C6343-00.jpg,2003,['스티븐 노링턴'],['숀 코네리'],7.34,2003
241,628,각설탕,https://movie.naver.com/movie/bi/mi/basic.nhn?code=43206,https://ssl.pstatic.net/imgmovie/mdi/mit110/0432/D3206-00.jpg,2006,['이환경'],"['임수정', '박은수']",8.84,2006
243,637,주홍글씨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38408,https://ssl.pstatic.net/imgmovie/mdi/mit110/0384/C8408-00.jpg,2004,['변혁'],"['한석규', '이은주', '성현아', '엄지원']",5.31,2004
245,639,보이스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=190320,https://ssl.pstatic.net/imgmovie/mdi/mit110/1903/190320_P44_100537.jpg,2021,"['김선', '김곡']","['변요한', '김무열', '김희원', '박명훈']",8.40,2021
251,642,검은 집,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65541,https://ssl.pstatic.net/imgmovie/mdi/mit110/0655/F5541-01.jpg,2007,['신태라'],"['황정민', '유선', '강신일', '김서형']",6.42,2007
255,665,퓨리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107928,https://ssl.pstatic.net/imgmovie/mdi/mit110/1079/107928_P18_113902.jpg,2014,['데이비드 에이어'],"['브래드 피트', '로건 레먼', '샤이아 라보프']",8.70,2014
257,667,트와일라잇,https://movie.naver.com/movie/bi/mi/basic.nhn?code=47229,https://ssl.pstatic.net/imgmovie/mdi/mit110/0472/47229_P85_114456.jpg,2008,['캐서린 하드윅'],"['크리스틴 스튜어트', '로버트 패틴슨']",7.93,2008
259,671,궁합,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141206,https://ssl.pstatic.net/imgmovie/mdi/mit110/1412/141206_P30_121806.jpg,2018,['홍창표'],"['심은경', '이승기']",6.45,2018
263,674,터미널,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38835,https://ssl.pstatic.net/imgmovie/mdi/mit110/0388/C8835-00.jpg,2004,['스티븐 스필버그'],['톰 행크스'],8.98,2004
267,688,만남의 광장,https://movie.naver.com/movie/bi/mi/basic.nhn?code=63722,https://ssl.pstatic.net/imgmovie/mdi/mit110/0637/F3722-01.jpg,2007,['김종진'],"['임창정', '박진희']",6.11,2007
269,700,달콤한 인생,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39516,https://ssl.pstatic.net/imgmovie/mdi/mit110/0395/C9516-00.jpg,2005,['김지운'],"['이병헌', '김영철', '신민아']",8.83,2005
271,701,황진이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=60311,https://ssl.pstatic.net/imgmovie/mdi/mit110/0603/F0311-01.jpg,2007,['장윤현'],"['송혜교', '유지태']",5.34,2007
273,704,즐거운 인생,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65463,https://ssl.pstatic.net/imgmovie/mdi/mit110/0654/F5463-01.jpg,2007,['이준익'],"['정진영', '김윤석', '김상호', '장근석']",9.14,2007
277,714,나비효과,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38091,https://ssl.pstatic.net/imgmovie/mdi/mit110/0380/C8091-00.jpg,2004,"['에릭 브레스', 'J. 마키에 그러버']","['애쉬튼 커쳐', '에이미 스마트', '에릭 스톨츠', '윌리암 리 스콧', '엘든 헨슨']",9.22,2004
279,726,결혼전야,https://movie.naver.com/movie/bi/mi/basic.nhn?code=104612,https://ssl.pstatic.net/imgmovie/mdi/mit110/1046/104612_P31_104135.jpg,2013,['홍지영'],"['김강우', '김효진', '이연희', '택연', '마동석', '구잘 투르수노바', '이희준', '고준희', '주지훈']",6.97,2013
282,736,몬스터 하우스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=61060,https://ssl.pstatic.net/imgmovie/mdi/mit110/0610/F1060-01.jpg,2006,['길 키넌'],"['밋첼 머소', '샘 러너', '스펜서 로크', '스티브 부세미', '매기 질렌할']",7.38,2006
285,740,짝패,https://movie.naver.com/movie/bi/mi/basic.nhn?code=58280,https://ssl.pstatic.net/imgmovie/mdi/mit110/0582/E8280-01.jpg,2006,['류승완'],"['류승완', '정두홍', '이범수']",7.90,2006
